# time (ps)       depth (nm)       Te (K)      Tl(K)
  0.1000000000E-04     0.7735849057E+02     0.3000000356E+03     0.3000000000E+03
  0.1000000000E-04     0.7798742138E+02     0.3000000354E+03     0.3000000000E+03
  0.1000000000E-04     0.7861635220E+02     0.3000000352E+03     0.3000000000E+03
  0.1000000000E-04     0.7924528302E+02     0.3000000351E+03     0.3000000000E+03
  0.1000000000E-04     0.7987421384E+02     0.3000000349E+03     0.3000000000E+03
  0.1000000000E-04     0.8050314465E+02     0.3000000347E+03     0.3000000000E+03
  0.1000000000E-04     0.8113207547E+02     0.3000000345E+03     0.3000000000E+03
  0.1000000000E-04     0.8176100629E+02     0.3000000343E+03     0.3000000000E+03
  0.1000000000E-04     0.8238993711E+02     0.3000000342E+03     0.3000000000E+03
  0.1000000000E-04     0.8301886792E+02     0.3000000340E+03     0.3000000000E+03
  0.1000000000E-04     0.8364779874E+02     0.3000000338E+03     0.3000000000E+03
  0.1000000000E-04     0.8427672956E+02     0.3000000336E+03     0.3000000000E+03
  0.1000000000E-04     0.8490566038E+02     0.3000000335E+03     0.3000000000E+03
  0.1000000000E-04     0.8553459119E+02     0.3000000333E+03     0.3000000000E+03
  0.1000000000E-04     0.8616352201E+02     0.3000000331E+03     0.3000000000E+03
  0.1000000000E-04     0.8679245283E+02     0.3000000329E+03     0.3000000000E+03
  0.1000000000E-04     0.8742138365E+02     0.3000000328E+03     0.3000000000E+03
  0.1000000000E-04     0.8805031447E+02     0.3000000326E+03     0.3000000000E+03
  0.1000000000E-04     0.8867924528E+02     0.3000000324E+03     0.3000000000E+03
  0.1000000000E-04     0.8930817610E+02     0.3000000323E+03     0.3000000000E+03
  0.1000000000E-04     0.8993710692E+02     0.3000000321E+03     0.3000000000E+03
  0.1000000000E-04     0.9056603774E+02     0.3000000319E+03     0.3000000000E+03
  0.1000000000E-04     0.9119496855E+02     0.3000000318E+03     0.3000000000E+03
  0.1000000000E-04     0.9182389937E+02     0.3000000316E+03     0.3000000000E+03
